"","Mcode","A","A_D","E","SA","SD_SC","SE","M"
"6553",3,0,0.0021,0.0037,0,0.3659,0.6341,"CE"
"6554",3,0,0.0013,0.005,0,0.2074,0.7926,"CE"
"6555",6,0.0013,0,0.0043,0.2378,0,0.7622,"AE"
"6556",3,0,0.0015,0.0037,0,0.289,0.711,"CE"
"6557",3,0,0.0012,0.0039,0,0.2316,0.7684,"CE"
"6558",4,0,0,0.0059,0,0,1,"E"
"6559",3,0,0.0016,0.0036,0,0.3066,0.6934,"CE"
"6560",3,0,0.0014,0.0039,0,0.2667,0.7333,"CE"
"6561",3,0,0.0019,0.0042,0,0.3181,0.6819,"CE"
"6562",3,0,0.002,0.0041,0,0.3311,0.6689,"CE"
"6563",3,0,0.0018,0.0038,0,0.321,0.679,"CE"
"6564",7,0,0.0022,0.0031,0,0.4187,0.5813,"DE"
"6565",3,0,0.0017,0.0039,0,0.3078,0.6922,"CE"
"6566",3,0,0.0011,0.0043,0,0.198,0.802,"CE"
"6567",3,0,0.0019,0.0041,0,0.3157,0.6843,"CE"
"6568",3,0,0.002,0.0043,0,0.3149,0.6851,"CE"
"6569",3,0,0.0011,0.0046,0,0.1984,0.8016,"CE"
"6570",3,0,0.0013,0.0033,0,0.2787,0.7213,"CE"
"6571",3,0,0.0012,0.0036,0,0.2559,0.7441,"CE"
"6572",3,0,0.0017,0.0034,0,0.3275,0.6725,"CE"
"6573",4,0,0,0.0055,0,0,1,"E"
"6574",3,0,0.0015,0.0037,0,0.2906,0.7094,"CE"
"6575",3,0,0.0019,0.0044,0,0.3038,0.6962,"CE"
"6576",3,0,0.0012,0.0038,0,0.2493,0.7507,"CE"
"6577",3,0,0.001,0.0044,0,0.1822,0.8178,"CE"
"6578",3,0,0.0014,0.0038,0,0.2733,0.7267,"CE"
"6579",3,0,0.0022,0.0044,0,0.34,0.66,"CE"
"6580",4,0,0,0.0045,0,0,1,"E"
"6581",3,0,0.0015,0.0038,0,0.2829,0.7171,"CE"
"6582",6,0.0016,0,0.0038,0.3021,0,0.6979,"AE"
"6583",3,0,0.0014,0.0042,0,0.2449,0.7551,"CE"
"6584",3,0,0.001,0.004,0,0.2066,0.7934,"CE"
"6585",3,0,0.001,0.0042,0,0.198,0.802,"CE"
"6586",7,0,0.0017,0.0025,0,0.4065,0.5935,"DE"
"6587",3,0,0.0014,0.0038,0,0.2718,0.7282,"CE"
"6588",3,0,0.0013,0.0033,0,0.2776,0.7224,"CE"
"6589",2,0.0017,0,0.004,0.3006,0,0.6994,"AE"
"6590",3,0,0.0018,0.0041,0,0.3078,0.6922,"CE"
"6591",4,0,0,0.005,0,0,1,"E"
"6592",3,0,0.0015,0.0042,0,0.2698,0.7302,"CE"
"6593",3,0,0.0017,0.0035,0,0.3322,0.6678,"CE"
"6594",3,0,0.0012,0.0042,0,0.2274,0.7726,"CE"
"6595",3,0,0.0021,0.0045,0,0.3148,0.6852,"CE"
"6596",3,0,0.0018,0.0044,0,0.2934,0.7066,"CE"
"6597",3,0,0.0017,0.0041,0,0.2972,0.7028,"CE"
"6598",3,0,0.001,0.0042,0,0.1917,0.8083,"CE"
"6599",3,0,0.0014,0.0047,0,0.2272,0.7728,"CE"
"6600",3,0,0.002,0.0045,0,0.3055,0.6945,"CE"
"6601",2,0.0016,0,0.0037,0.3015,0,0.6985,"AE"
"6602",6,0.0026,0,0.0036,0.4186,0,0.5814,"AE"
"6603",3,0,0.0016,0.0044,0,0.2694,0.7306,"CE"
"6604",3,0,0.0014,0.004,0,0.2621,0.7379,"CE"
"6605",4,0,0,0.0049,0,0,1,"E"
"6606",4,0,0,0.0044,0,0,1,"E"
"6607",3,0,0.002,0.0041,0,0.3259,0.6741,"CE"
"6608",3,0,0.0018,0.0036,0,0.3285,0.6715,"CE"
"6609",3,0,0.0015,0.0039,0,0.2772,0.7228,"CE"
"6610",4,0,0,0.0044,0,0,1,"E"
"6611",3,0,0.0022,0.0039,0,0.358,0.642,"CE"
"6612",3,0,0.0024,0.0034,0,0.4124,0.5876,"CE"
"6613",3,0,0.0012,0.0038,0,0.234,0.766,"CE"
"6614",3,0,0.0012,0.004,0,0.2228,0.7772,"CE"
"6615",3,0,0.0022,0.003,0,0.419,0.581,"CE"
"6616",4,0,0,0.0043,0,0,1,"E"
"6617",4,0,0,0.0056,0,0,1,"E"
"6618",4,0,0,0.0046,0,0,1,"E"
