"","Mcode","A","A_D","E","SA","SD_SC","SE","M"
"5710",6,0.0013,0,0.0027,0.3266,0,0.6734,"AE"
"5711",2,0.0021,0,0.0026,0.4451,0,0.5549,"AE"
"5712",3,0,0.0015,0.0027,0,0.3491,0.6509,"CE"
"5713",3,0,0.0017,0.003,0,0.3623,0.6377,"CE"
"5714",3,0,0.0013,0.0039,0,0.2487,0.7513,"CE"
"5715",2,0.0019,0,0.0028,0.4038,0,0.5962,"AE"
"5716",3,0,0.0012,0.004,0,0.2352,0.7648,"CE"
"5717",6,0.0016,0,0.003,0.3564,0,0.6436,"AE"
"5718",4,0,0,0.0038,0,0,1,"E"
"5719",6,0.0019,0,0.0023,0.4515,0,0.5485,"AE"
"5720",3,0,0.0013,0.0028,0,0.3265,0.6735,"CE"
"5721",6,0.0021,0,0.002,0.5055,0,0.4945,"AE"
"5722",3,0,0.0015,0.0033,0,0.3125,0.6875,"CE"
"5723",3,0,0.0016,0.004,0,0.2837,0.7163,"CE"
"5724",3,0,0.0017,0.0033,0,0.3439,0.6561,"CE"
"5725",2,0.001,0,0.0035,0.2293,0,0.7707,"AE"
"5726",2,0.002,0,0.0026,0.4359,0,0.5641,"AE"
"5727",3,0,0.0014,0.0036,0,0.274,0.726,"CE"
"5728",2,0.0013,0,0.003,0.2953,0,0.7047,"AE"
"5729",7,0,0.002,0.003,0,0.3968,0.6032,"DE"
"5730",7,0,0.0025,0.002,0,0.5579,0.4421,"DE"
"5731",6,0.0025,0,0.0021,0.5502,0,0.4498,"AE"
"5732",3,0,0.0013,0.0033,0,0.2769,0.7231,"CE"
"5733",3,0,0.0016,0.0036,0,0.3104,0.6896,"CE"
"5734",6,0.0023,0,0.0029,0.4355,0,0.5645,"AE"
"5735",3,0,0.0014,0.0033,0,0.3008,0.6992,"CE"
"5736",3,0,0.0012,0.0035,0,0.2595,0.7405,"CE"
"5737",2,0.0021,0,0.0025,0.4495,0,0.5505,"AE"
"5738",4,0,0,0.0034,0,0,1,"E"
"5739",7,0,0.0013,0.002,0,0.3938,0.6062,"DE"
"5740",7,0,0.0025,0.0021,0,0.5497,0.4503,"DE"
"5741",2,0.0023,0,0.0031,0.4295,0,0.5705,"AE"
"5742",6,0.0024,0,0.0029,0.4486,0,0.5514,"AE"
"5743",3,0,0.0011,0.0037,0,0.2238,0.7762,"CE"
"5744",3,0,9e-04,0.0037,0,0.1941,0.8059,"CE"
"5745",3,0,0.0012,0.0037,0,0.2526,0.7474,"CE"
"5746",3,0,0.0012,0.0033,0,0.2721,0.7279,"CE"
"5747",3,0,0.0011,0.0035,0,0.2439,0.7561,"CE"
"5748",3,0,9e-04,0.0039,0,0.1863,0.8137,"CE"
"5749",3,0,0.0017,0.004,0,0.2968,0.7032,"CE"
"5750",2,0.0011,0,0.0035,0.2358,0,0.7642,"AE"
"5751",3,0,0.0015,0.0029,0,0.3314,0.6686,"CE"
"5752",3,0,0.0014,0.0031,0,0.3007,0.6993,"CE"
"5753",2,0.002,0,0.0031,0.3919,0,0.6081,"AE"
"5754",6,0.002,0,0.0028,0.4183,0,0.5817,"AE"
"5755",3,0,0.0012,0.0036,0,0.2437,0.7563,"CE"
"5756",2,0.0023,0,0.0024,0.4891,0,0.5109,"AE"
"5757",2,0.0014,0,0.0033,0.2983,0,0.7017,"AE"
"5758",3,0,9e-04,0.0041,0,0.1836,0.8164,"CE"
"5759",3,0,0.0018,0.0022,0,0.4529,0.5471,"CE"
"5760",6,0.0016,0,0.0034,0.3231,0,0.6769,"AE"
"5761",6,0.0015,0,0.0027,0.3565,0,0.6435,"AE"
"5762",8,0,0,0.0043,0,0,1,"E"
"5763",6,0.002,0,0.0032,0.3801,0,0.6199,"AE"
"5764",3,0,0.0015,0.0033,0,0.3045,0.6955,"CE"
"5765",7,0,0.002,0.0027,0,0.4255,0.5745,"DE"
"5766",6,0.0022,0,0.0022,0.5031,0,0.4969,"AE"
"5767",2,0.0021,0,0.0031,0.404,0,0.596,"AE"
"5768",7,0,0.0022,0.0027,0,0.4467,0.5533,"DE"
"5769",3,0,0.0017,0.0031,0,0.3618,0.6382,"CE"
"5770",6,0.0026,0,0.0029,0.4641,0,0.5359,"AE"
"5771",3,0,0.0017,0.0031,0,0.3518,0.6482,"CE"
"5772",3,0,0.0016,0.0032,0,0.34,0.66,"CE"
"5773",2,0.0011,0,0.0037,0.2251,0,0.7749,"AE"
"5774",3,0,0.0017,0.0037,0,0.3168,0.6832,"CE"
"5775",2,0.0014,0,0.0035,0.2933,0,0.7067,"AE"
"5776",3,0,0.0014,0.0028,0,0.333,0.667,"CE"
"5777",7,0,0.0022,0.0019,0,0.5318,0.4682,"DE"
"5778",3,0,0.001,0.0029,0,0.2656,0.7344,"CE"
"5779",3,0,0.0015,0.0033,0,0.3191,0.6809,"CE"
"5780",2,0.0022,0,0.002,0.5208,0,0.4792,"AE"
"5781",3,0,0.0019,0.003,0,0.3902,0.6098,"CE"
"5782",2,0.0016,0,0.0032,0.3298,0,0.6702,"AE"
"5783",3,0,0.0011,0.0033,0,0.241,0.759,"CE"
"5784",3,0,0.0017,0.0036,0,0.3135,0.6865,"CE"
"5785",6,0.0018,0,0.003,0.3713,0,0.6287,"AE"
"5786",3,0,0.0015,0.0032,0,0.3207,0.6793,"CE"
"5787",2,0.002,0,0.0036,0.3611,0,0.6389,"AE"
"5788",3,0,0.0013,0.0027,0,0.3308,0.6692,"CE"
"5789",6,0.0023,0,0.0029,0.4467,0,0.5533,"AE"
"5790",4,0,0,0.0043,0,0,1,"E"
"5791",2,0.0015,0,0.0027,0.3589,0,0.6411,"AE"
"5792",2,0.0019,0,0.0032,0.375,0,0.625,"AE"
"5793",3,0,0.0015,0.0033,0,0.3195,0.6805,"CE"
"5794",3,0,0.0014,0.0036,0,0.2768,0.7232,"CE"
"5795",3,0,0.001,0.0039,0,0.1979,0.8021,"CE"
"5796",3,0,0.0016,0.0034,0,0.3262,0.6738,"CE"
"5797",3,0,0.0015,0.0039,0,0.2822,0.7178,"CE"
"5798",3,0,0.0014,0.0028,0,0.325,0.675,"CE"
"5799",2,0.0012,0,0.0031,0.2752,0,0.7248,"AE"
"5800",2,0.0025,0,0.0024,0.5068,0,0.4932,"AE"
"5801",7,0,0.0023,0.0021,0,0.5133,0.4867,"DE"
"5802",3,0,0.0021,0.0028,0,0.4328,0.5672,"CE"
"5803",2,0.0015,0,0.0032,0.3177,0,0.6823,"AE"
"5804",4,0,0,0.005,0,0,1,"E"
"5805",4,0,0,0.0042,0,0,1,"E"
"5806",2,0.0022,0,0.0029,0.4302,0,0.5698,"AE"
"5807",3,0,9e-04,0.0035,0,0.2083,0.7917,"CE"
"5808",6,0.002,0,0.0024,0.4531,0,0.5469,"AE"
