"","Simulated_a","Simulated_c","Estimated_a","Estimated_c","Difference"
"3268",0.46,0.05,0.45051,0,-0.45051
"3269",0.46,0.05,0.61648,0,-0.61648
"3270",0.46,0.05,0.44595,0,-0.44595
"3271",0.46,0.05,0.56408,0,-0.56408
"3272",0.46,0.05,0.14364,0.32744,0.1838
"3273",0.46,0.05,0.31571,0,-0.31571
"3274",0.46,0.05,0.43107,0,-0.43107
"3275",0.46,0.05,0,0.42735,0.42735
"3276",0.46,0.05,0.47835,0.02776,-0.45059
"3277",0.46,0.05,0.4747,0,-0.4747
"3278",0.46,0.05,0.55282,0,-0.55282
"3279",0.46,0.05,0.12131,0.26956,0.14824
"3280",0.46,0.05,0.56457,0.10498,-0.45959
"3281",0.46,0.05,0.45853,0.06947,-0.38905
"3282",0.46,0.05,0.6672,0,-0.6672
"3283",0.46,0.05,0.42916,0,-0.42916
"3284",0.46,0.05,0.49375,0,-0.49375
"3285",0.46,0.05,0.24776,0,-0.24776
"3286",0.46,0.05,0.04728,0.34816,0.30088
"3287",0.46,0.05,0.57975,0,-0.57975
"3288",0.46,0.05,0.62636,0,-0.62636
"3289",0.46,0.05,0.35828,0,-0.35828
"3290",0.46,0.05,0.45639,0.12768,-0.32871
"3291",0.46,0.05,0.44233,0,-0.44233
"3292",0.46,0.05,0.33761,0.12801,-0.2096
"3293",0.46,0.05,0.5979,0,-0.5979
"3294",0.46,0.05,0.58851,0,-0.58851
"3295",0.46,0.05,0.46168,0,-0.46168
"3296",0.46,0.05,0,0.48719,0.48719
"3297",0.46,0.05,0.43363,0,-0.43363
"3298",0.46,0.05,0.25732,0.29758,0.04026
"3299",0.46,0.05,0.29499,0.30936,0.01438
"3300",0.46,0.05,0.33652,0.27069,-0.06583
"3301",0.46,0.05,0.03307,0.36099,0.32791
"3302",0.46,0.05,0.15994,0.34134,0.1814
"3303",0.46,0.05,0.49892,0,-0.49892
"3304",0.46,0.05,0.46919,0,-0.46919
"3305",0.46,0.05,0.51926,0,-0.51926
"3306",0.46,0.05,0.51507,0.06746,-0.44761
"3307",0.46,0.05,0.50575,0,-0.50575
"3308",0.46,0.05,0.39258,0,-0.39258
"3309",0.46,0.05,0.44108,0.14287,-0.29821
"3310",0.46,0.05,0.16577,0.18604,0.02027
"3311",0.46,0.05,0.64523,0,-0.64523
"3312",0.46,0.05,0,0.42411,0.42411
"3313",0.46,0.05,0,0.45758,0.45758
"3314",0.46,0.05,0.25023,0.26258,0.01235
"3315",0.46,0.05,0.65222,0,-0.65222
"3316",0.46,0.05,0.53547,0,-0.53547
"3317",0.46,0.05,0.46189,0,-0.46189
"3318",0.46,0.05,0.43672,0,-0.43672
"3319",0.46,0.05,0.50819,0,-0.50819
"3320",0.46,0.05,0,0.4439,0.4439
"3321",0.46,0.05,0.43164,0,-0.43164
"3322",0.46,0.05,0.48549,0.02197,-0.46352
"3323",0.46,0.05,0.41237,0.17707,-0.2353
"3324",0.46,0.05,0.25942,0.11591,-0.1435
"3325",0.46,0.05,0.27829,0.33723,0.05894
"3326",0.46,0.05,0.1536,0.2801,0.12651
"3327",0.46,0.05,0.08851,0.40162,0.31311
"3328",0.46,0.05,0,0.46242,0.46242
"3329",0.46,0.05,0.3383,0.13393,-0.20437
"3330",0.46,0.05,0.36879,0,-0.36879
"3331",0.46,0.05,0.16113,0.33852,0.17739
"3332",0.46,0.05,0.41603,0,-0.41603
"3333",0.46,0.05,0.5459,0,-0.5459
"3334",0.46,0.05,0.32898,0.16695,-0.16203
"3335",0.46,0.05,0,0.39483,0.39483
"3336",0.46,0.05,0.3502,0,-0.3502
"3337",0.46,0.05,0.21009,0.34471,0.13463
"3338",0.46,0.05,0.5441,0.04942,-0.49468
"3339",0.46,0.05,0.50598,0.05049,-0.45548
"3340",0.46,0.05,0.62445,0,-0.62445
"3341",0.46,0.05,0.50646,0.06518,-0.44128
"3342",0.46,0.05,0.35075,0.06247,-0.28828
"3343",0.46,0.05,0.61086,0,-0.61086
"3344",0.46,0.05,0.13663,0.30339,0.16676
"3345",0.46,0.05,0.5273,0.04705,-0.48025
"3346",0.46,0.05,0.19175,0.33286,0.14111
"3347",0.46,0.05,0.33518,0.03259,-0.3026
"3348",0.46,0.05,0,0.46391,0.46391
"3349",0.46,0.05,0.41768,0.16085,-0.25683
"3350",0.46,0.05,0.43649,0.13707,-0.29943
"3351",0.46,0.05,0.5242,0,-0.5242
"3352",0.46,0.05,0.6226,0.01631,-0.60629
"3353",0.46,0.05,0.14472,0.4218,0.27708
"3354",0.46,0.05,0.24746,0.27634,0.02888
"3355",0.46,0.05,0.21894,0.21249,-0.00645
"3356",0.46,0.05,0.24229,0.19536,-0.04693
"3357",0.46,0.05,0.45597,0.01982,-0.43616
"3358",0.46,0.05,0.41564,0,-0.41564
"3359",0.46,0.05,0.51718,0,-0.51718
"3360",0.46,0.05,0.45772,0.15596,-0.30176
"3361",0.46,0.05,0.46779,0.00361,-0.46418
"3362",0.46,0.05,0.44631,0,-0.44631
"3363",0.46,0.05,0.45586,0,-0.45586
"3364",0.46,0.05,0,0.53027,0.53027
"3365",0.46,0.05,0.49622,0.01359,-0.48263
"3366",0.46,0.05,0.33646,0.02594,-0.31052
"3367",0.46,0.05,0.119,0.46391,0.34491
"3368",0.46,0.05,0.29413,0.09321,-0.20092
"3369",0.46,0.05,0.3749,0.09399,-0.28091
"3370",0.46,0.05,0.43946,0,-0.43946
"3371",0.46,0.05,0.46974,0,-0.46974
"3372",0.46,0.05,0.49132,0.08876,-0.40256
"3373",0.46,0.05,0.46408,0.06832,-0.39576
"3374",0.46,0.05,0.69021,0.01569,-0.67452
"3375",0.46,0.05,0.2964,0.37055,0.07416
"3376",0.46,0.05,0.23282,0.25173,0.01891
"3377",0.46,0.05,0.62856,0.05169,-0.57686
"3378",0.46,0.05,0.69752,0,-0.69752
"3379",0.46,0.05,0.69587,0,-0.69587
"3380",0.46,0.05,0.43704,0.15407,-0.28296
"3381",0.46,0.05,0.63514,0,-0.63514
"3382",0.46,0.05,0.57981,0.05939,-0.52042
"3383",0.46,0.05,0.53605,0,-0.53605
"3384",0.46,0.05,0.6606,0,-0.6606
"3385",0.46,0.05,0.15547,0.15263,-0.00284
"3386",0.46,0.05,0.52152,0,-0.52152
"3387",0.46,0.05,0.55652,0,-0.55652
"3388",0.46,0.05,0.55916,0,-0.55916
"3389",0.46,0.05,0.44793,0,-0.44793
"3390",0.46,0.05,0.5428,0.02142,-0.52137
"3391",0.46,0.05,0.36779,0.12665,-0.24114
"3392",0.46,0.05,0.49283,0.01031,-0.48253
"3393",0.46,0.05,0.38792,0,-0.38792
"3394",0.46,0.05,0.40093,0,-0.40093
"3395",0.46,0.05,0.37495,0,-0.37495
"3396",0.46,0.05,0.62401,0,-0.62401
"3397",0.46,0.05,0,0.46774,0.46774
"3398",0.46,0.05,0.36564,0,-0.36564
"3399",0.46,0.05,0.53566,0,-0.53566
"3400",0.46,0.05,0.25138,0.186,-0.06537
"3401",0.46,0.05,0.39543,0.11702,-0.2784
"3402",0.46,0.05,0.40184,0.11717,-0.28466
"3403",0.46,0.05,0.47388,0,-0.47388
"3404",0.46,0.05,0.47158,0,-0.47158
