"","Simulated_a","Simulated_c","Estimated_a","Estimated_c","Difference"
"269",0.09,0.11,0.09531,0.19757,0.10226
"270",0.09,0.11,0.24603,0,-0.24603
"271",0.09,0.11,0.19053,0,-0.19053
"272",0.09,0.11,0.12113,0,-0.12113
"273",0.09,0.11,0,0.30893,0.30893
"274",0.09,0.11,0.189,0,-0.189
"275",0.09,0.11,0,0.16065,0.16065
"276",0.09,0.11,0,0.06239,0.06239
"277",0.09,0.11,0.08923,0,-0.08923
"278",0.09,0.11,0,0.13638,0.13638
"279",0.09,0.11,0.18177,0,-0.18177
"280",0.09,0.11,0,0.26654,0.26654
"281",0.09,0.11,0.17892,0.01419,-0.16473
"282",0.09,0.11,0,0.35859,0.35859
"283",0.09,0.11,0.05656,0.30581,0.24924
"284",0.09,0.11,0.36142,0,-0.36142
"285",0.09,0.11,0.15466,0,-0.15466
"286",0.09,0.11,0.08099,0,-0.08099
"287",0.09,0.11,0,0.31086,0.31086
"288",0.09,0.11,0,0.01553,0.01553
"289",0.09,0.11,0.13801,0.15931,0.0213
"290",0.09,0.11,0,0.18825,0.18825
"291",0.09,0.11,0.04906,0,-0.04906
"292",0.09,0.11,0,0.32274,0.32274
"293",0.09,0.11,0,0.24244,0.24244
"294",0.09,0.11,0,0.02169,0.02169
"295",0.09,0.11,0.0543,0.18779,0.13349
"296",0.09,0.11,0.41452,0,-0.41452
"297",0.09,0.11,0,0.32704,0.32704
"298",0.09,0.11,0,0.30046,0.30046
"299",0.09,0.11,0.23089,0,-0.23089
"300",0.09,0.11,0.22475,0.13766,-0.08709
"301",0.09,0.11,0.25999,0,-0.25999
"302",0.09,0.11,0.35526,0,-0.35526
"303",0.09,0.11,0.15622,0,-0.15622
"304",0.09,0.11,0,0.1289,0.1289
"305",0.09,0.11,0.26764,0.05109,-0.21654
"306",0.09,0.11,0,0.20263,0.20263
"307",0.09,0.11,0.21393,0.05623,-0.15771
"308",0.09,0.11,0,0.1664,0.1664
"309",0.09,0.11,0,0.22981,0.22981
"310",0.09,0.11,0,0.1307,0.1307
"311",0.09,0.11,0,0.18083,0.18083
"312",0.09,0.11,0,0.23238,0.23238
"313",0.09,0.11,0,0.29019,0.29019
"314",0.09,0.11,0,0.21308,0.21308
"315",0.09,0.11,0.13652,0,-0.13652
"316",0.09,0.11,0.00121,0.07118,0.06997
"317",0.09,0.11,0.25423,0,-0.25423
"318",0.09,0.11,0.12471,0.07057,-0.05414
"319",0.09,0.11,0.48891,0,-0.48891
"320",0.09,0.11,0.34236,0,-0.34236
"321",0.09,0.11,0.05537,0,-0.05537
"322",0.09,0.11,0.20962,0,-0.20962
"323",0.09,0.11,0,0.3042,0.3042
"324",0.09,0.11,0.08562,0.20031,0.11468
"325",0.09,0.11,0.3148,0.06262,-0.25219
"326",0.09,0.11,0.06648,0.12881,0.06233
"327",0.09,0.11,0,0.33048,0.33048
"328",0.09,0.11,0,0.14008,0.14008
"329",0.09,0.11,0.17293,0,-0.17293
"330",0.09,0.11,0.2018,0,-0.2018
"331",0.09,0.11,0,0.01066,0.01066
"332",0.09,0.11,0.32751,0.0923,-0.23522
"333",0.09,0.11,0,0.08794,0.08794
"334",0.09,0.11,0.19089,0,-0.19089
"335",0.09,0.11,0.33364,0.00609,-0.32755
"336",0.09,0.11,0.10816,0,-0.10816
"337",0.09,0.11,0.49296,0,-0.49296
"338",0.09,0.11,0.26832,0.14893,-0.11939
"339",0.09,0.11,0,0.40311,0.40311
"340",0.09,0.11,0.06154,0,-0.06154
"341",0.09,0.11,0.37184,0,-0.37184
"342",0.09,0.11,0,0.23854,0.23854
"343",0.09,0.11,0.14381,0,-0.14381
"344",0.09,0.11,0,0.14559,0.14559
"345",0.09,0.11,0,0.29628,0.29628
"346",0.09,0.11,0,0.20296,0.20296
"347",0.09,0.11,0,0.12767,0.12767
"348",0.09,0.11,0,0.11863,0.11863
"349",0.09,0.11,0,0.1814,0.1814
"350",0.09,0.11,0,0.31,0.31
"351",0.09,0.11,0,0.27573,0.27573
"352",0.09,0.11,0.30879,0.01994,-0.28884
"353",0.09,0.11,0.27149,0,-0.27149
"354",0.09,0.11,0,0.19206,0.19206
"355",0.09,0.11,0,0.03153,0.03153
"356",0.09,0.11,0.23863,0.09271,-0.14592
"357",0.09,0.11,0.31158,0,-0.31158
"358",0.09,0.11,0.2105,0,-0.2105
"359",0.09,0.11,0.39056,0,-0.39056
"360",0.09,0.11,0.14936,0,-0.14936
"361",0.09,0.11,0.02276,0.3103,0.28753
"362",0.09,0.11,0,0.22077,0.22077
"363",0.09,0.11,0.15424,0.16908,0.01484
"364",0.09,0.11,0.2271,0,-0.2271
"365",0.09,0.11,0,0.11669,0.11669
"366",0.09,0.11,0.18758,0.2374,0.04982
"367",0.09,0.11,0.26134,0.0782,-0.18314
"368",0.09,0.11,0.28069,0,-0.28069
"369",0.09,0.11,0,0.29688,0.29688
"370",0.09,0.11,0.18098,0,-0.18098
"371",0.09,0.11,0.24218,0.07662,-0.16556
"372",0.09,0.11,0.37749,0,-0.37749
"373",0.09,0.11,0.22738,0.11438,-0.113
"374",0.09,0.11,0.05218,0.11275,0.06057
"375",0.09,0.11,0,0.18008,0.18008
"376",0.09,0.11,0.23761,0,-0.23761
"377",0.09,0.11,0,0.2088,0.2088
"378",0.09,0.11,0.19293,0,-0.19293
"379",0.09,0.11,0.26488,0.01767,-0.24721
"380",0.09,0.11,0,0.22805,0.22805
"381",0.09,0.11,0.26788,0,-0.26788
"382",0.09,0.11,0,0.37639,0.37639
"383",0.09,0.11,0.05572,0.15775,0.10203
"384",0.09,0.11,0,0.23111,0.23111
"385",0.09,0.11,0,0.19832,0.19832
"386",0.09,0.11,0.1599,0,-0.1599
"387",0.09,0.11,0.07909,0.05581,-0.02329
"388",0.09,0.11,0.27187,0,-0.27187
"389",0.09,0.11,0,0.11798,0.11798
"390",0.09,0.11,0.16639,0.06538,-0.10101
"391",0.09,0.11,0,0.2482,0.2482
"392",0.09,0.11,0,0.13627,0.13627
"393",0.09,0.11,0,0.14318,0.14318
"394",0.09,0.11,0,0.08859,0.08859
"395",0.09,0.11,0,0.07178,0.07178
"396",0.09,0.11,0.0488,0,-0.0488
"397",0.09,0.11,0.41557,0,-0.41557
"398",0.09,0.11,0,0.01034,0.01034
"399",0.09,0.11,0.12145,0.01813,-0.10332
"400",0.09,0.11,0.062,0.0462,-0.0158
"401",0.09,0.11,0,0.16366,0.16366
"402",0.09,0.11,0,0.2109,0.2109
"403",0.09,0.11,0,0.26292,0.26292
"404",0.09,0.11,0.01295,0.26435,0.2514
"405",0.09,0.11,0.14815,0,-0.14815
"406",0.09,0.11,0.16154,0,-0.16154
"407",0.09,0.11,0.30218,0,-0.30218
"408",0.09,0.11,0,0.06405,0.06405
"409",0.09,0.11,0.46547,0,-0.46547
"410",0.09,0.11,0.26412,0.0191,-0.24502
"411",0.09,0.11,0,0.25075,0.25075
"412",0.09,0.11,0,0.07902,0.07902
"413",0.09,0.11,0.35615,0,-0.35615
"414",0.09,0.11,0.33323,0,-0.33323
"415",0.09,0.11,0.05741,0.14768,0.09028
"416",0.09,0.11,0.37691,0.06409,-0.31281
"417",0.09,0.11,0,0,0
"418",0.09,0.11,0,0.43032,0.43032
"419",0.09,0.11,0.26502,0,-0.26502
"420",0.09,0.11,0,0.24417,0.24417
"421",0.09,0.11,0.21327,0,-0.21327
"422",0.09,0.11,0.20425,0.08441,-0.11983
"423",0.09,0.11,0.1331,0,-0.1331
"424",0.09,0.11,0,0.09231,0.09231
"425",0.09,0.11,0.19249,0,-0.19249
"426",0.09,0.11,0,0.34414,0.34414
"427",0.09,0.11,0.31237,0,-0.31237
"428",0.09,0.11,0,0.01148,0.01148
"429",0.09,0.11,0.21808,0,-0.21808
"430",0.09,0.11,0.10045,0.05357,-0.04688
"431",0.09,0.11,0.38638,0,-0.38638
"432",0.09,0.11,0,0.09116,0.09116
"433",0.09,0.11,0.28475,0.0025,-0.28226
"434",0.09,0.11,0,0.17305,0.17305
"435",0.09,0.11,0.27847,0,-0.27847
"436",0.09,0.11,0.14257,0.03601,-0.10656
"437",0.09,0.11,0.06206,0.2989,0.23684
"438",0.09,0.11,0,0.16896,0.16896
"439",0.09,0.11,0.09274,0.14076,0.04802
"440",0.09,0.11,0,0.07627,0.07627
"441",0.09,0.11,0,0.22277,0.22277
"442",0.09,0.11,0.20736,0,-0.20736
"443",0.09,0.11,0,0.07186,0.07186
"444",0.09,0.11,0.44512,0.01936,-0.42575
"445",0.09,0.11,0.46947,0,-0.46947
"446",0.09,0.11,0,0.15733,0.15733
"447",0.09,0.11,0,0.25424,0.25424
"448",0.09,0.11,0.22173,0,-0.22173
"449",0.09,0.11,0,0.02953,0.02953
"450",0.09,0.11,0.17876,0.0856,-0.09316
"451",0.09,0.11,0.10154,0,-0.10154
"452",0.09,0.11,0.16469,0,-0.16469
"453",0.09,0.11,0.18849,0,-0.18849
"454",0.09,0.11,0.08172,0.29696,0.21524
"455",0.09,0.11,0,0,0
"456",0.09,0.11,0.02988,0.13525,0.10537
"457",0.09,0.11,0,0.2663,0.2663
"458",0.09,0.11,0,0.14354,0.14354
"459",0.09,0.11,0.09407,0,-0.09407
"460",0.09,0.11,0,0.23534,0.23534
"461",0.09,0.11,0.08258,0,-0.08258
"462",0.09,0.11,0,0.12602,0.12602
"463",0.09,0.11,0,0.29414,0.29414
"464",0.09,0.11,0.05665,0.21603,0.15938
"465",0.09,0.11,0.38023,0,-0.38023
"466",0.09,0.11,0,0.20355,0.20355
"467",0.09,0.11,0,0.16268,0.16268
"468",0.09,0.11,0.08069,0,-0.08069
"469",0.09,0.11,0,0.25122,0.25121
"470",0.09,0.11,0,0.12926,0.12926
"471",0.09,0.11,0,0.14971,0.14971
"472",0.09,0.11,0,0.1845,0.1845
"473",0.09,0.11,0.11672,0,-0.11672
"474",0.09,0.11,0.10038,0,-0.10038
"475",0.09,0.11,0.28186,0.12163,-0.16023
"476",0.09,0.11,0,0.15321,0.15321
"477",0.09,0.11,0.27649,0,-0.27649
"478",0.09,0.11,0,0.11876,0.11876
"479",0.09,0.11,0.25391,0,-0.25391
"480",0.09,0.11,0.01503,0.2606,0.24556
"481",0.09,0.11,0,0.20779,0.20779
"482",0.09,0.11,0.01784,0.10011,0.08228
"483",0.09,0.11,0.04165,0.22408,0.18243
"484",0.09,0.11,0.10462,0,-0.10462
"485",0.09,0.11,0,0.10017,0.10017
"486",0.09,0.11,0.19475,0.12564,-0.06911
"487",0.09,0.11,0.12327,0,-0.12327
"488",0.09,0.11,0,0.2652,0.2652
"489",0.09,0.11,0.26661,0,-0.26661
"490",0.09,0.11,0.06066,0,-0.06066
"491",0.09,0.11,0.00028,0.10197,0.10168
"492",0.09,0.11,0,0.20992,0.20992
"493",0.09,0.11,0,0.26074,0.26074
"494",0.09,0.11,0.24889,0,-0.24889
"495",0.09,0.11,0,0.15707,0.15707
"496",0.09,0.11,0,0.06476,0.06476
"497",0.09,0.11,0,0.15482,0.15482
"498",0.09,0.11,0.28512,0,-0.28512
"499",0.09,0.11,0,0.26307,0.26307
"500",0.09,0.11,0,0.25313,0.25313
"501",0.09,0.11,0.04688,0.21879,0.17191
"502",0.09,0.11,0,0.19835,0.19835
"503",0.09,0.11,0,0.20499,0.20499
"504",0.09,0.11,0,0.04495,0.04495
"505",0.09,0.11,0.29437,0,-0.29437
"506",0.09,0.11,0,0.18596,0.18596
"507",0.09,0.11,0,0.14329,0.14329
"508",0.09,0.11,0,0.29507,0.29507
"509",0.09,0.11,0,0.17226,0.17226
"510",0.09,0.11,0.06316,0.08503,0.02187
"511",0.09,0.11,0.30298,0,-0.30298
"512",0.09,0.11,0.18946,0.11435,-0.07511
"513",0.09,0.11,0.10062,0.23873,0.1381
"514",0.09,0.11,0.12627,0.09036,-0.03592
"515",0.09,0.11,0,0.08457,0.08457
"516",0.09,0.11,0,0.08138,0.08138
"517",0.09,0.11,0,0.23225,0.23225
"518",0.09,0.11,0,0.32781,0.32781
"519",0.09,0.11,0,0.28399,0.28399
"520",0.09,0.11,0.28292,0,-0.28292
"521",0.09,0.11,0.24287,0.20067,-0.04221
"522",0.09,0.11,0.1207,0,-0.1207
"523",0.09,0.11,0,0.07755,0.07755
"524",0.09,0.11,0.19946,0.19396,-0.00549
"525",0.09,0.11,0.04556,0.16234,0.11678
"526",0.09,0.11,0.01475,0.29365,0.2789
"527",0.09,0.11,0,0.07902,0.07902
"528",0.09,0.11,0.2736,0,-0.2736
"529",0.09,0.11,0,0.16398,0.16398
"530",0.09,0.11,0,0.27478,0.27478
"531",0.09,0.11,0,0.13194,0.13194
"532",0.09,0.11,0.14062,0.08136,-0.05926
"533",0.09,0.11,0.08519,0,-0.08519
"534",0.09,0.11,0,0.26318,0.26318
"535",0.09,0.11,0,0.24114,0.24114
"536",0.09,0.11,0.3606,0,-0.3606
"537",0.09,0.11,0,0.24413,0.24413
"538",0.09,0.11,0.0477,0.13993,0.09223
"539",0.09,0.11,0,0.17342,0.17342
"540",0.09,0.11,0.02525,0,-0.02525
"541",0.09,0.11,0.24208,0.17386,-0.06822
"542",0.09,0.11,0.30609,0,-0.30609
"543",0.09,0.11,0.21018,0,-0.21018
"544",0.09,0.11,0.20055,0,-0.20055
"545",0.09,0.11,0.05977,0.07138,0.01161
"546",0.09,0.11,0.1517,0.13365,-0.01804
"547",0.09,0.11,0.3836,0,-0.3836
"548",0.09,0.11,0.19526,0,-0.19526
"549",0.09,0.11,0.15289,0.03211,-0.12078
"550",0.09,0.11,0,0.20499,0.20499
"551",0.09,0.11,0,0.13189,0.13189
"552",0.09,0.11,0.14111,0,-0.14111
"553",0.09,0.11,0,0.05521,0.05521
"554",0.09,0.11,0.48776,0,-0.48776
"555",0.09,0.11,0.16827,0,-0.16827
"556",0.09,0.11,0.00448,0,-0.00448
"557",0.09,0.11,0,0.34959,0.34959
"558",0.09,0.11,0,0.25519,0.25519
"559",0.09,0.11,0.15715,0.10968,-0.04747
"560",0.09,0.11,0.25215,0,-0.25215
"561",0.09,0.11,0,0.34438,0.34438
"562",0.09,0.11,0.03373,0.12222,0.08849
"563",0.09,0.11,0.05667,0,-0.05667
"564",0.09,0.11,0,0.21511,0.21511
"565",0.09,0.11,0,0.16641,0.16641
"566",0.09,0.11,0.00699,0,-0.00699
"567",0.09,0.11,0.45016,0,-0.45016
"568",0.09,0.11,0.30509,0,-0.30509
"569",0.09,0.11,0,0.26802,0.26802
"570",0.09,0.11,0.10501,0.15522,0.05021
"571",0.09,0.11,0,0.20109,0.20109
"572",0.09,0.11,0.35527,0,-0.35527
"573",0.09,0.11,0.22892,0,-0.22892
"574",0.09,0.11,0.29345,0.00756,-0.28588
"575",0.09,0.11,0.34844,0.03517,-0.31327
"576",0.09,0.11,0,0.30867,0.30867
"577",0.09,0.11,0.19544,0.18001,-0.01543
"578",0.09,0.11,0,0.25077,0.25077
"579",0.09,0.11,0.2485,0.04986,-0.19864
"580",0.09,0.11,0.16361,0,-0.16361
